popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
82.0,0.852,0.73,1.0,-5.803,1.0,0.0579,0.0219,0.0,0.336,0.394,92.506,157693.0,4.0
85.0,0.8440000000000001,0.644,11.0,-6.273,0.0,0.0479,0.0828,0.0,0.113,0.591,122.061,169038.0,4.0
87.0,0.905,0.389,8.0,-14.505,1.0,0.332,0.74,0.162,0.106,0.196,120.046,193143.0,4.0
83.0,0.679,0.728,5.0,-3.092,0.0,0.154,0.159,0.0,0.107,0.46,152.001,181013.0,4.0
89.0,0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.34700000000000003,102.998,171030.0,4.0
82.0,0.649,0.453,6.0,-7.28,1.0,0.085,0.627,0.0,0.116,0.431,99.183,181891.0,4.0
92.0,0.693,0.6779999999999999,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267.0,4.0
84.0,0.8540000000000001,0.5539999999999999,8.0,-4.684,1.0,0.172,0.769,1.84e-06,0.0749,0.272,142.069,163121.0,4.0
82.0,0.901,0.6759999999999999,2.0,-7.033,1.0,0.251,0.0646,0.0,0.0863,0.452,85.01799999999999,148278.0,4.0
86.0,0.421,0.131,0.0,-18.435,1.0,0.0382,0.952,0.004529999999999999,0.109,0.12,137.446,291796.0,4.0
81.0,0.741,0.87,6.0,-3.494,0.0,0.503,0.00813,0.0,0.114,0.6629999999999999,184.194,254723.0,4.0
83.0,0.746,0.5589999999999999,5.0,-4.008,1.0,0.0316,0.703,0.0,0.14800000000000002,0.368,117.943,200680.0,4.0
88.0,0.584,0.685,7.0,-7.811,1.0,0.425,0.0304,0.0,0.189,0.345,97.551,226321.0,4.0
81.0,0.54,0.863,1.0,-4.4830000000000005,1.0,0.0481,0.0138,0.0,0.0871,0.64,77.0,186800.0,4.0
89.0,0.794,0.7929999999999999,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290.0,4.0
83.0,0.665,0.741,0.0,-3.694,1.0,0.0787,0.154,3.02e-05,0.345,0.57,144.968,156893.0,4.0
83.0,0.243,0.26,4.0,-5.876,0.0,0.0305,0.828,4.03e-05,0.532,0.327,76.61,49293.0,3.0
87.0,0.61,0.83,0.0,-4.105,1.0,0.0571,0.033,0.0,0.118,0.728,182.162,193000.0,4.0
84.0,0.664,0.316,5.0,-10.345,1.0,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640.0,4.0
88.0,0.795,0.496,0.0,-5.882999999999999,1.0,0.0722,0.108,0.0,0.0645,0.8740000000000001,94.01,183000.0,4.0
81.0,0.642,0.647,7.0,-6.312,0.0,0.428,0.517,0.0,0.0649,0.664,120.749,217867.0,4.0
88.0,0.6920000000000001,0.809,2.0,-4.198,1.0,0.0602,0.524,0.0,0.147,0.8640000000000001,123.911,190800.0,4.0
81.0,0.97,0.463,10.0,-7.258999999999999,1.0,0.366,0.0957,0.0,0.151,0.46,108.003,142417.0,4.0
0.0,0.6890000000000001,0.675,0.0,-4.2810000000000015,1.0,0.32,0.531,3.17e-06,0.115,0.604,180.065,205600.0,4.0
0.0,0.747,0.74,4.0,-4.325,0.0,0.191,0.0165,9.940000000000003e-05,0.101,0.552,176.05900000000003,158800.0,4.0
0.0,0.775,0.867,5.0,-1.582,0.0,0.0414,0.0132,0.006840000000000001,0.278,0.8690000000000001,96.038,265747.0,4.0
0.0,0.718,0.679,4.0,-6.216,0.0,0.197,0.0298,0.0,0.126,0.669,175.982,199933.0,4.0
0.0,0.8959999999999999,0.8590000000000001,11.0,-4.232,0.0,0.211,0.154,0.000115,0.212,0.938,93.016,201280.0,4.0
83.0,0.7240000000000001,0.772,6.0,-4.3889999999999985,0.0,0.184,0.248,0.0,0.308,0.34700000000000003,95.074,168280.0,4.0
83.0,0.767,0.889,7.0,-2.988,1.0,0.0963,0.00611,0.0,0.402,0.843,119.93,195145.0,4.0
87.0,0.591,0.7020000000000001,7.0,-5.59,1.0,0.0289,0.225,0.0,0.414,0.501,104.003,217653.0,4.0
86.0,0.57,0.585,8.0,-7.041,1.0,0.251,0.128,9.7e-05,0.111,0.378,97.285,171987.0,4.0
81.0,0.691,0.64,0.0,-6.441,1.0,0.369,0.511,0.0,0.409,0.163,138.672,202040.0,4.0
87.0,0.53,0.5379999999999999,5.0,-6.6720000000000015,1.0,0.0335,0.17,2.83e-06,0.248,0.28800000000000003,148.05100000000004,233654.0,4.0
86.0,0.853,0.35100000000000003,7.0,-10.198,1.0,0.241,0.39,9.38e-06,0.752,0.282,118.028,221543.0,4.0
85.0,0.777,0.6579999999999999,0.0,-5.191,1.0,0.054000000000000006,0.0767,0.0,0.0901,0.633,110.048,190360.0,4.0
87.0,0.755,0.448,3.0,-2.9930000000000003,0.0,0.0405,0.0508,3.87e-06,0.11,0.431,139.028,204887.0,4.0
88.0,0.77,0.882,8.0,-4.792,1.0,0.0602,0.194,0.0,0.316,0.385,99.991,223523.0,4.0
81.0,0.943,0.664,4.0,-5.952000000000001,0.0,0.106,0.235,5.84e-06,0.112,0.93,120.051,156893.0,4.0
82.0,0.6609999999999999,0.44,2.0,-9.104,1.0,0.0803,0.457,0.0,0.128,0.35200000000000004,149.937,230400.0,4.0
87.0,0.8420000000000001,0.7340000000000001,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.952,137.958,181040.0,4.0
85.0,0.708,0.18600000000000005,9.0,-8.953,0.0,0.0422,0.868,0.0,0.0779,0.321,72.541,156107.0,4.0
82.0,0.8190000000000001,0.458,4.0,-10.223,0.0,0.16699999999999998,0.5820000000000001,0.173,0.128,0.232,122.981,268893.0,4.0
84.0,0.552,0.7020000000000001,9.0,-5.707000000000002,1.0,0.157,0.117,2.0600000000000006e-05,0.105,0.564,169.99400000000003,178427.0,4.0
82.0,0.8690000000000001,0.59,11.0,-8.214,1.0,0.257,0.07,0.0,0.236,0.479,107.934,151147.0,4.0
81.0,0.612,0.57,11.0,-6.642,0.0,0.0347,0.279,0.0,0.0963,0.335,77.00399999999998,197293.0,4.0
86.0,0.726,0.5539999999999999,5.0,-5.29,0.0,0.0917,0.0421,0.0,0.106,0.335,169.99900000000005,190440.0,4.0
82.0,0.731,0.65,0.0,-5.2860000000000005,1.0,0.271,0.107,0.0,0.124,0.605,154.968,177847.0,4.0
80.0,0.919,0.556,4.0,-6.049,0.0,0.16399999999999998,0.0933,0.0,0.109,0.539,130.025,146600.0,4.0
81.0,0.978,0.477,8.0,-8.158999999999999,1.0,0.155,0.000143,0.0,0.133,0.196,110.002,109091.0,4.0
82.0,0.7859999999999999,0.6579999999999999,0.0,-2.61,1.0,0.0661,0.0856,0.0,0.0689,0.458,170.037,202333.0,4.0
79.0,0.7390000000000001,0.637,4.0,-5.79,0.0,0.44,0.232,0.0,0.634,0.513,164.91,128414.0,4.0
93.0,0.7340000000000001,0.836,10.0,-4.803,0.0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,270741.0,4.0
85.0,0.6779999999999999,0.5329999999999999,4.0,-10.485,1.0,0.18600000000000005,0.462,0.219,0.139,0.32299999999999995,150.455,180953.0,4.0
90.0,0.795,0.7829999999999999,5.0,-4.271,1.0,0.0432,0.361,0.0,0.4370000000000001,0.8,92.016,266087.0,4.0
83.0,0.706,0.679,9.0,-5.614,1.0,0.0324,0.139,6.979999999999999e-05,0.465,0.657,140.08100000000002,158707.0,4.0
82.0,0.476,0.701,0.0,-4.234,1.0,0.0349,0.102,0.0,0.242,0.405,163.882,158120.0,4.0
83.0,0.561,0.0848,2.0,-15.099,1.0,0.0404,0.913,2.62e-05,0.112,0.206,102.128,219147.0,4.0
87.0,0.722,0.757,10.0,-6.207000000000002,0.0,0.132,0.185,6.32e-06,0.126,0.721,140.094,185815.0,4.0
86.0,0.726,0.444,8.0,-8.922,0.0,0.3720000000000001,0.28300000000000003,0.14300000000000002,0.177,0.569,185.044,168840.0,4.0
81.0,0.8290000000000001,0.5820000000000001,7.0,-5.721,0.0,0.0415,0.525,0.0,0.0759,0.51,108.028,109373.0,4.0
82.0,0.897,0.743,10.0,-5.4460000000000015,0.0,0.222,0.304,4.44e-05,0.13699999999999998,0.905,134.97899999999998,187105.0,4.0
83.0,0.7859999999999999,0.428,5.0,-10.011,0.0,0.31,0.0933,1.1e-06,0.156,0.556,97.001,255000.0,4.0
81.0,0.568,0.764,5.0,-3.465,0.0,0.255,0.217,0.0,0.0931,0.625,179.985,160720.0,4.0
81.0,0.677,0.7140000000000001,11.0,-5.6370000000000005,1.0,0.0287,0.162,0.0,0.0717,0.355,94.956,136568.0,4.0
82.0,0.61,0.725,8.0,-5.131,1.0,0.15,0.3670000000000001,0.0,0.154,0.29100000000000004,146.16299999999995,201788.0,4.0
83.0,0.772,0.637,2.0,-6.881,1.0,0.114,0.00459,0.0,0.0778,0.54,149.906,167317.0,4.0
81.0,0.684,0.687,2.0,-4.673,1.0,0.2,0.0164,0.0,0.253,0.265,184.026,151067.0,4.0
91.0,0.725,0.79,0.0,-2.331,1.0,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,287773.0,4.0
79.0,0.888,0.43,9.0,-6.728,1.0,0.588,0.0786,1.58e-06,0.132,0.45,120.088,160013.0,4.0
79.0,0.547,0.743,2.0,-6.064,1.0,0.0323,0.235,0.0,0.231,0.647,77.9,225253.0,4.0
86.0,0.599,0.733,11.0,-7.058,1.0,0.203,0.17600000000000002,0.0,0.242,0.534,102.211,162583.0,4.0
